id,class
0,9
1,15
2,3
3,4
4,15
5,8
6,13
7,3
8,3
9,19
10,8
11,10
12,3
13,13
14,15
15,3
16,9
17,9
18,3
19,3
20,9
21,9
22,3
23,9
24,14
25,15
26,3
27,15
28,6
29,3
30,14
31,8
32,19
33,15
34,8
35,10
36,13
37,10
38,15
39,13
40,18
41,13
42,15
43,15
44,13
45,3
46,14
47,14
48,9
49,6
50,12
51,18
52,8
53,9
54,4
55,9
56,6
57,13
58,17
59,14
60,1
61,13
62,14
63,3
64,9
65,6
66,3
67,14
68,9
69,15
70,13
71,3
72,6
73,1
74,3
75,8
76,13
77,12
78,3
79,10
80,18
81,10
82,3
83,15
84,3
85,6
86,19
87,19
88,13
89,6
90,9
91,8
92,6
93,6
94,3
95,13
96,13
97,14
98,13
99,9
