id,class
0,13
1,13
2,8
3,12
4,13
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,13
15,8
16,8
17,8
18,8
19,8
20,13
21,8
22,8
23,8
24,13
25,13
26,8
27,13
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,13
43,13
44,8
45,8
46,8
47,8
48,8
49,8
50,8
51,8
52,8
53,8
54,13
55,8
56,8
57,8
58,13
59,8
60,8
61,8
62,8
63,8
64,13
65,8
66,8
67,8
68,8
69,13
70,8
71,8
72,8
73,8
74,8
75,8
76,8
77,8
78,8
79,8
80,8
81,8
82,8
83,13
84,13
85,13
86,8
87,8
88,8
89,8
90,13
91,8
92,13
93,8
94,8
95,8
96,8
97,13
98,13
99,13
