id,class
0,9
1,3
2,3
3,18
4,15
5,10
6,9
7,3
8,15
9,14
10,10
11,10
12,13
13,8
14,15
15,8
16,9
17,9
18,12
19,3
20,9
21,3
22,1
23,9
24,9
25,15
26,3
27,15
28,13
29,3
30,13
31,10
32,3
33,6
34,8
35,8
36,9
37,8
38,12
39,8
40,1
41,13
42,15
43,15
44,13
45,3
46,15
47,15
48,10
49,8
50,12
51,8
52,1
53,9
54,15
55,9
56,7
57,18
58,17
59,14
60,14
61,13
62,14
63,10
64,9
65,13
66,3
67,13
68,3
69,15
70,8
71,10
72,9
73,1
74,6
75,16
76,13
77,3
78,15
79,10
80,18
81,14
82,14
83,15
84,15
85,9
86,9
87,14
88,6
89,3
90,13
91,10
92,14
93,6
94,3
95,13
96,15
97,14
98,13
99,9
