id,class
0,3
1,19
2,3
3,18
4,15
5,8
6,19
7,19
8,3
9,19
10,3
11,8
12,12
13,13
14,17
15,19
16,9
17,9
18,3
19,3
20,15
21,4
22,18
23,12
24,15
25,15
26,3
27,15
28,6
29,12
30,19
31,8
32,3
33,15
34,13
35,13
36,19
37,13
38,3
39,13
40,18
41,19
42,17
43,15
44,3
45,19
46,15
47,17
48,19
49,6
50,12
51,19
52,8
53,15
54,18
55,19
56,3
57,13
58,15
59,17
60,8
61,19
62,14
63,3
64,9
65,17
66,3
67,8
68,19
69,15
70,8
71,19
72,19
73,19
74,11
75,8
76,19
77,12
78,3
79,3
80,19
81,10
82,3
83,3
84,19
85,15
86,19
87,19
88,19
89,11
90,9
91,8
92,15
93,3
94,3
95,8
96,19
97,17
98,19
99,19
